freq,unit,indic_nrg,geo\TIME_PERIOD	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,HDD,EL	1687.22 	1873.87 	1786.40 	1834.44 	1798.42 	1742.79 	1678.83 	1717.83 	1810.74 	1823.66 	1733.22 	1636.03 	1953.12 	1834.12 	1813.70 	1596.12 	1715.02 	1804.68 	1821.25 	1690.09 	1563.01 	1661.02 	1593.33 	1549.11 	1747.33 	1594.93 	1691.44 	1749.23 	1546.70 	1498.82 	1496.91 	1390.85 	1796.64 	1654.99 	1439.27 	1397.47 	1572.95 	1458.36 	1612.13 	1371.74 	1448.99 	1491.43 	1535.61 	1537.62 	1375.80 
A,NR,HDD,ES	2024.88 	2126.09 	1877.28 	1892.66 	1908.10 	2165.11 	2006.85 	2057.92 	1854.14 	1873.69 	1674.17 	1797.76 	2103.43 	1977.46 	2076.01 	1751.11 	1552.85 	1833.66 	1511.54 	1777.50 	1858.04 	1814.60 	1787.38 	1680.70 	1776.37 	1935.16 	1962.13 	1684.49 	1829.89 	1864.97 	1720.56 	1953.46 	1572.46 	1873.15 	1921.25 	1554.36 	1610.60 	1724.77 	1606.48 	1796.63 	1670.72 	1554.52 	1663.07 	1478.27 	1481.64 
A,NR,HDD,EU27_2020	3509.57 	3677.56 	3466.37 	3313.97 	3274.05 	3430.03 	3725.67 	3525.03 	3664.73 	3289.82 	3012.20 	3033.33 	3399.90 	3209.52 	3374.77 	3147.05 	3219.13 	3533.35 	3193.86 	3263.10 	3129.09 	2960.77 	3210.04 	3063.00 	3225.75 	3215.73 	3209.72 	3084.50 	2985.90 	3036.39 	3113.25 	3497.41 	2968.15 	3237.86 	3160.09 	2815.53 	2901.23 	3033.05 	3044.85 	2940.90 	2909.29 	2759.16 	3126.31 	2857.63 	2820.92 
A,NR,HDD,FI	5979.02 	6292.06 	6229.34 	5896.03 	5830.12 	5672.88 	6701.17 	6103.96 	6603.46 	5930.81 	5172.81 	5455.81 	5637.68 	5574.83 	5834.75 	5869.06 	5648.63 	5877.82 	5735.31 	6007.95 	5667.04 	5211.69 	5766.64 	5736.48 	5665.70 	5561.61 	5295.38 	5442.56 	5321.96 	5332.63 	5608.30 	6179.75 	5239.13 	5839.92 	5238.58 	5237.14 	5014.74 	5325.90 	5508.23 	5349.59 	5482.97 	4873.47 	5623.37 	5276.82 	5437.01 
A,NR,HDD,FR	2748.71 	2880.55 	2619.31 	2453.39 	2617.03 	2767.35 	2892.35 	2799.25 	2796.66 	2426.88 	2336.78 	2335.26 	2731.90 	2549.79 	2588.69 	2263.02 	2422.45 	2708.36 	2300.16 	2471.70 	2351.43 	2270.83 	2412.55 	2210.01 	2374.08 	2502.78 	2506.25 	2315.45 	2264.04 	2442.65 	2384.93 	2756.06 	2057.49 	2439.28 	2637.51 	2080.89 	2255.70 	2397.90 	2336.00 	2181.92 	2246.95 	2038.31 	2412.69 	2035.58 	2045.12 
A,NR,HDD,HR	2499.98 	2849.29 	2575.34 	2554.03 	2593.28 	2719.80 	2875.26 	2775.49 	2810.59 	2566.47 	2429.35 	2346.28 	2804.18 	2489.43 	2573.60 	2259.51 	2642.38 	2877.77 	2538.52 	2514.58 	2425.23 	2119.27 	2358.02 	2179.12 	2569.42 	2464.57 	2684.01 	2408.49 	2208.64 	2214.64 	2273.67 	2521.22 	2359.44 	2355.07 	2290.00 	1885.28 	2246.21 	2264.65 	2323.22 	2139.52 	2076.47 	2137.32 	2366.18 	2114.79 	1957.53 
A,NR,HDD,HU	2892.91 	3290.10 	2906.99 	2978.97 	2818.02 	2982.05 	3287.13 	3087.94 	3194.15 	2932.50 	2682.90 	2671.41 	3130.60 	2803.79 	2985.79 	2645.22 	2922.39 	3222.79 	3064.80 	2909.20 	2833.35 	2502.95 	2856.12 	2650.18 	3110.57 	2892.42 	3042.39 	2825.80 	2572.60 	2553.43 	2618.66 	2950.73 	2815.26 	2768.77 	2688.69 	2277.68 	2598.04 	2707.02 	2742.93 	2468.70 	2381.22 	2546.99 	2803.43 	2549.79 	2324.16 
A,NR,HDD,IE	3327.30 	3098.38 	3031.67 	2981.92 	2873.77 	3003.79 	3244.29 	3395.82 	3102.07 	2977.02 	2827.66 	2803.08 	2921.00 	2881.75 	2947.93 	2865.33 	2667.66 	2934.93 	2546.37 	2612.13 	2653.79 	2792.71 	2800.86 	2699.57 	2630.34 	2700.72 	2608.30 	2601.42 	2523.35 	2803.54 	2817.65 	3166.33 	2766.10 	2861.13 	2835.61 	2629.47 	2912.09 	2744.05 	2668.92 	2754.34 	2706.58 	2744.01 	2643.76 	2548.90 	2396.75 
A,NR,HDD,IT	2234.84 	2414.40 	2268.62 	2181.12 	2208.03 	2336.56 	2279.54 	2201.45 	2258.24 	2099.59 	2071.21 	2022.05 	2362.70 	2003.66 	2112.01 	1900.18 	2064.36 	2091.42 	1944.92 	2032.60 	2000.40 	1848.20 	1877.19 	1804.77 	2007.84 	2006.05 	2162.84 	1949.00 	1836.76 	1896.16 	1947.26 	2074.34 	1856.24 	1952.79 	1932.55 	1631.87 	1808.06 	1766.12 	1879.86 	1746.84 	1813.91 	1748.95 	1916.57 	1734.63 	1688.65 
A,NR,HDD,LT	4514.75 	4709.39 	4203.29 	4093.17 	3787.46 	4109.52 	4723.86 	4346.41 	4841.84 	4127.86 	3564.61 	3561.46 	3906.56 	3871.75 	4183.64 	4134.46 	3987.29 	4607.86 	4139.71 	4072.47 	3812.06 	3566.72 	4011.72 	3834.50 	4085.35 	4071.09 	4020.15 	3892.89 	3739.70 	3555.94 	3949.81 	4415.00 	3767.86 	4081.27 	3873.17 	3729.28 	3523.32 	3829.94 	3761.50 	3687.57 	3391.36 	3304.68 	4016.22 	3773.19 	3461.92 
